,budget,genres,id,keywords,popularity,release_month,revenue,runtime,title,vote_average,vote_count,won,genre_weight,profit
38,200000000,Action|Adventure|Fantasy,102382,obsession|marvel comic|sequel|based on comic book|electrocution|medical experiment|electricity|super powers,89.270217,4,705717432,142.0,The Amazing Spider-Man 2,6.5,4179,0,0.08287292817679558,505717432
39,170000000,Adventure|Action|Science Fiction,20526,artificial intelligence|secret identity|computer program|dystopia|computer|deception|duel|motorcycle|neon light|autocracy,73.79505,12,400062763,125.0,TRON: Legacy,6.3,2841,0,0.1432517758484609,230062763
40,200000000,Animation|Family|Adventure|Comedy,49013,car race|sequel|comedy|anthropomorphism|best friend|duringcreditsstinger,49.98659,6,559852396,106.0,Cars 2,5.8,2033,0,0.22059984214680345,359852396
41,200000000,Adventure|Action|Thriller|Science Fiction,44912,dc comics|transformation|superhero|alien|alien infection|magical object|protector|super powers|origin|3d,51.872839,6,219851172,114.0,Green Lantern,5.1,2487,0,0.19297553275453827,19851172
42,200000000,Animation|Family|Comedy,10193,hostage|college|toy|barbie|animation|escape|day care|teddy bear|duringcreditsstinger|toy comes to life|personification|inanimate objects coming to life|toy story,59.99541800000001,6,1066969703,103.0,Toy Story 3,7.6,4597,0,0.18192580899763217,866969703
43,200000000,Action|Science Fiction|Thriller,534,saving the world|artificial intelligence|prophecy|san francisco|cyborg|killer robot|gas station|post-apocalyptic|dystopia|army|firearm|wartime|los angeles,71.862892,5,371353001,115.0,Terminator Salvation,5.9,2463,0,0.154301499605367,171353001
44,190000000,Action,168259,car race|speed|revenge|suspense|car|race|muscle car,102.32221700000001,4,1506249360,137.0,Furious 7,7.3,4176,0,0.03314917127071823,1316249360
45,200000000,Action|Drama|Horror|Science Fiction|Thriller,72190,dystopia|apocalypse|zombie|nuclear weapons|multiple perspectives|zombie apocalypse,81.834855,6,531865000,116.0,World War Z,6.7,5560,0,0.5848460931333859,331865000
46,250000000,Action|Adventure|Fantasy|Science Fiction,127585,1970s|mutant|time travel|marvel comic|based on comic book|superhuman|storm|beast|aftercreditsstinger|changing the past or future,118.07869099999999,5,747862775,131.0,X-Men: Days of Future Past,7.5,6032,0,0.154301499605367,497862775
47,190000000,Action|Adventure|Science Fiction,54138,spacecraft|friendship|sequel|futuristic|space|alien|imax|space opera|terrorist bombing|3d,78.29101800000001,5,467365246,132.0,Star Trek Into Darkness,7.4,4418,0,0.1432517758484609,277365246
48,195000000,Action|Family|Fantasy,81005,based on fairy tale|giant,43.349855,2,197687603,114.0,Jack the Giant Slayer,5.5,2598,0,0.06077348066298342,2687603
49,105000000,Drama|Romance,64682,based on novel|infidelity|obsession|hope|3d,61.196070999999996,5,351040419,143.0,The Great Gatsby,7.3,3769,0,0.48066298342541436,246040419
50,150000000,Adventure|Fantasy|Action|Romance,9543,persia|sandstorm|brother against brother|armageddon|regent|based on video game,62.169881000000004,5,335154643,116.0,Prince of Persia: The Sands of Time,6.2,2317,0,0.2044198895027624,185154643
51,180000000,Action|Science Fiction|Adventure,68726,dystopia|giant robot|giant monster|apocalypse|imax|duringcreditsstinger|3d,56.523205000000004,7,407602906,131.0,Pacific Rim,6.7,4794,0,0.1432517758484609,227602906
52,195000000,Action|Science Fiction|Adventure,38356,moon|spacecraft|traitor|bodyguard|alien planet|based on cartoon|transformers|giant robot|sabotage|word domination|commando|duringcreditsstinger,28.529607000000002,6,1123746996,154.0,Transformers: Dark of the Moon,6.1,3299,0,0.1432517758484609,928746996
53,185000000,Adventure|Action,217,saving the world|riddle|whip|treasure|mexico city|leather jacket|machinegun|alien phenomenons|maya civilization|peru|treasure hunt|nuclear explosion|refrigerator|archaeologist|indiana jones|archeology ,75.674458,5,786636033,122.0,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,0,0.0718232044198895,601636033
54,175000000,Adventure|Animation|Family,105864,tyrannosaurus rex|friends|alternate history|dinosaur|fear|storm|nature|human|journey,51.692953,11,331926147,93.0,The Good Dinosaur,6.6,1736,0,0.1266771902131018,156926147
55,185000000,Animation|Adventure|Comedy|Family|Action|Fantasy,62177,scotland|rebel|bravery|kingdom|archer|wish|bear|scot|rebellious daughter|turns into animal|archery|ruins|aftercreditsstinger|peace offering|woman director|courage|3d,125.114374,6,538983207,93.0,Brave,6.7,4641,0,0.2647987371744277,353983207
56,185000000,Action|Adventure|Science Fiction,188927,sequel|stranded|hatred|space opera,65.352913,7,343471816,122.0,Star Trek Beyond,6.6,2568,0,0.1432517758484609,158471816
57,180000000,Animation|Family,10681,romantic comedy,66.390712,6,521311860,98.0,WALL·E,7.8,6296,0,0.08800315706393053,341311860
