Year,Ceremony,Award,Winner,Name,Film,Revenue,Budget,Runtime,Vote_average_list,Vote_count,Popularity,Genre
1953,26,Best Motion Picture,0,Julius Caesar ,"John Houseman, Producer",0,0,120,7.2,58,4.505,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
1953,26,Best Motion Picture,0,The Robe ,"Frank Ross, Producer",36000000,4100000,135,6.5,74,6.724,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
1953,26,Best Motion Picture,0,Roman Holiday ,"William Wyler, Producer",12000000,1500000,119,7.9,793,6.646,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]"
1953,26,Best Motion Picture,0,Shane ,"George Stevens, Producer",20000000,3100000,118,7.4,225,6.227,"[{'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]"
1954,27,Best Motion Picture,0,The Caine Mutiny ,"Stanley Kramer, Producer",21750000,2000000,124,7.3,116,6.36,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]"
1954,27,Best Motion Picture,0,The Country Girl ,"William Perlberg, Producer",0,0,104,7.7,20,3.451,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}]"
1954,27,Best Motion Picture,1,On the Waterfront ,"Sam Spiegel, Producer",9600000,910000,108,8.1,576,9.514,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
1954,27,Best Motion Picture,0,Seven Brides for Seven Brothers ,"Jack Cummings, Producer",5000000,0,102,7.4,215,5.779,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}, {'id': 10402, 'name': 'Music'}]"
1954,27,Best Motion Picture,0,Three Coins in the Fountain ,"Sol C. Siegel, Producer",0,0,102,6.2,18,1.549,"[{'id': 18, 'name': 'Drama'}]"
1955,28,Best Motion Picture,0,Love Is a Many-Splendored Thing ,"Buddy Adler, Producer",0,0,102,6.4,31,2.701,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1955,28,Best Motion Picture,1,Marty ,"Harold Hecht, Producer",3000000,343000,90,7.5,111,5.846,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1955,28,Best Motion Picture,0,Mister Roberts ,"Leland Hayward, Producer",0,0,123,7.2,55,3.287,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10752, 'name': 'War'}]"
1955,28,Best Motion Picture,0,Picnic ,"Fred Kohlmar, Producer",0,0,115,6.9,31,2.836,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1955,28,Best Motion Picture,0,The Rose Tattoo ,"Hal B. Wallis, Producer",0,0,117,7.6,19,2.062,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1956,29,Best Motion Picture,1,Around the World in 80 Days ,"Michael Todd, Producer",42000000,6000000,167,6.5,161,7.091,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]"
1956,29,Best Motion Picture,0,Friendly Persuasion ,"William Wyler, Producer",0,0,137,6.5,33,2.491,"[{'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}, {'id': 10752, 'name': 'War'}]"
1956,29,Best Motion Picture,0,Giant ,"George Stevens and Henry Ginsberg, Producers",35000000,5400000,201,7.6,264,6.808,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}, {'id': 10749, 'name': 'Romance'}]"
1956,29,Best Motion Picture,0,The King and I ,"Charles Brackett, Producer",21300000,4550000,133,7.3,159,9.033,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 12, 'name': 'Adventure'}]"
1956,29,Best Motion Picture,0,The Ten Commandments ,"Cecil B. DeMille, Producer",122700000,13000000,220,7.6,509,8.798,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
1957,30,Best Motion Picture,1,The Bridge on the River Kwai ,"Sam Spiegel, Producer",27200000,3000000,161,7.9,811,9.008,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]"
1957,30,Best Motion Picture,0,Peyton Place ,"Jerry Wald, Producer",0,0,151,7.1,24,3.107,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1957,30,Best Motion Picture,0,Sayonara ,"William Goetz, Producer",0,0,147,6.8,38,4.599,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1957,30,Best Motion Picture,0,12 Angry Men ,"Henry Fonda and Reginald Rose, Producers",1000000,350000,97,8.4,3218,16.487,"[{'id': 18, 'name': 'Drama'}]"
1957,30,Best Motion Picture,0,Witness for the Prosecution ,"Arthur Hornblow, Jr., Producer",9000000,3000000,116,8.3,441,10.101,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}]"
1958,31,Best Motion Picture,0,Auntie Mame ,Warner Brothers,0,0,143,7.2,40,3.161,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
1958,31,Best Motion Picture,0,Cat on a Hot Tin Roof ,"Lawrence Weingarten, Producer",17570324,3000000,108,7.8,271,6.51,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1958,31,Best Motion Picture,0,The Defiant Ones ,"Stanley Kramer, Producer",0,0,96,7,73,3.988,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
1958,31,Best Motion Picture,1,Gigi ,"Arthur Freed, Producer",0,3319355,116,6.4,107,6.679,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]"
1958,31,Best Motion Picture,0,Separate Tables ,"Harold Hecht, Producer",0,0,100,7.1,39,4.368,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1959,32,Best Motion Picture,0,Anatomy of a Murder ,"Otto Preminger, Producer",0,0,160,7.9,314,6.887,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
1959,32,Best Motion Picture,1,Ben-Hur ,"Sam Zimbalist, Producer",146900000,15000000,212,7.7,1020,10.667,"[{'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}]"
1959,32,Best Motion Picture,0,The Diary of Anne Frank ,"George Stevens, Producer",0,3000000,180,7.2,122,7.203,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
1959,32,Best Motion Picture,0,The Nun's Story ,"Henry Blanke, Producer",12800000,3500000,149,7.3,66,5.293,"[{'id': 18, 'name': 'Drama'}]"
1959,32,Best Motion Picture,0,Room at the Top ,"John Woolf and James Woolf, Producers",0,0,115,6.9,26,4.641,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1960,33,Best Motion Picture,0,The Alamo ,"John Wayne, Producer",7900000,12000000,167,6.8,112,4.407,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 37, 'name': 'Western'}]"
1960,33,Best Motion Picture,1,The Apartment ,"Billy Wilder, Producer",25000000,3000000,125,8.2,765,7.759,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1960,33,Best Motion Picture,0,Elmer Gantry ,"Bernard Smith, Producer",10400000,3000000,146,7.5,49,4.061,"[{'id': 18, 'name': 'Drama'}]"
1960,33,Best Motion Picture,0,Sons and Lovers ,"Jerry Wald, Producer",0,0,103,6.6,7,1.13,"[{'id': 18, 'name': 'Drama'}]"
1960,33,Best Motion Picture,0,The Sundowners ,"Fred Zinnemann, Producer",0,0,133,6.5,18,1.811,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}]"
1961,34,Best Motion Picture,0,Fanny ,"Joshua Logan, Producer",0,0,134,6.5,12,1.4,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1961,34,Best Motion Picture,0,The Guns of Navarone ,"Carl Foreman, Producer",28900000,6000000,158,7.5,269,8.089,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]"
1961,34,Best Motion Picture,0,The Hustler ,"Robert Rossen, Producer",7600000,2000000,134,7.8,368,8.795,"[{'id': 18, 'name': 'Drama'}]"
1961,34,Best Motion Picture,0,Judgment at Nuremberg ,"Stanley Kramer, Producer",10000000,3000000,186,8,251,7.218,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
1961,34,Best Motion Picture,1,West Side Story ,"Robert Wise, Producer",43656822,6000000,152,7.3,683,7.47,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}]"
1962,35,Best Picture,1,Lawrence of Arabia ,"Sam Spiegel, Producer",69995385,15000000,216,8,1267,6.288,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]"
1962,35,Best Picture,0,The Longest Day ,"Darryl F. Zanuck, Producer",50100000,10000000,178,7.5,361,8.518,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]"
1962,35,Best Picture,0,Meredith Willson's The Music Man ,"Morton Da Costa, Producer",2500000,927262,107,8.2,640,10.652,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
1962,35,Best Picture,0,Mutiny on the Bounty ,"Aaron Rosenberg, Producer",13680000,19000000,178,6.9,101,8.268,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
1962,35,Best Picture,0,To Kill a Mockingbird ,"Alan J. Pakula, Producer",13129846,2000000,129,8,1138,8.27,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
1963,36,Best Picture,0,America America ,"Elia Kazan, Producer",0,0,174,6.4,26,2.34,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
1963,36,Best Picture,0,Cleopatra ,"Walter Wanger, Producer",71000000,31115000,248,6.9,227,8.444,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]"
1963,36,Best Picture,0,How the West Was Won ,"Bernard Smith, Producer",50000000,15000000,162,7,131,8.218,"[{'id': 37, 'name': 'Western'}, {'id': 36, 'name': 'History'}]"
1963,36,Best Picture,0,Lilies of the Field ,"Ralph Nelson, Producer",0,0,94,7.2,39,2.31,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
1963,36,Best Picture,1,Tom Jones ,"Tony Richardson, Producer",37600000,1000000,128,6.6,53,5.307,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
1964,37,Best Picture,0,Becket ,"Hal B. Wallis, Producer",0,0,148,7.4,67,5.187,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
1964,37,Best Picture,0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,"Stanley Kubrick, Producer",9440272,1800000,95,8.1,2333,10.25,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]"
1964,37,Best Picture,0,Mary Poppins ,"Walt Disney and Bill Walsh, Producers",102272727,6000000,139,7.5,2024,11.267,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]"
1964,37,Best Picture,1,My Fair Lady ,"Jack L. Warner, Producer",72070731,17000000,170,7.7,540,6.753,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1964,37,Best Picture,0,Zorba the Greek ,"Michael Cacoyannis, Producer",0,783000,142,7.4,104,8.833,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]"
1965,38,Best Picture,0,Darling ,"Joseph Janni, Producer",0,0,128,6.7,41,5.397,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1965,38,Best Picture,0,Doctor Zhivago ,"Carlo Ponti, Producer",111858363,11000000,200,7.6,402,7.268,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]"
1965,38,Best Picture,0,Ship of Fools ,"Stanley Kramer, Producer",0,0,149,6.2,24,2.262,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 10749, 'name': 'Romance'}]"
1965,38,Best Picture,1,The Sound of Music ,"Robert Wise, Producer",286214286,8200000,174,7.6,1452,15.289,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]"
1965,38,Best Picture,0,A Thousand Clowns ,"Fred Coe, Producer",0,0,118,7.4,11,0.6,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1966,39,Best Picture,0,Alfie ,"Lewis Gilbert, Producer",0,0,114,6.7,90,5.519,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1966,39,Best Picture,1,A Man for All Seasons ,"Fred Zinnemann, Producer",28350000,3900000,120,7.6,135,5.853,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
1966,39,Best Picture,0,The Russians Are Coming The Russians Are Coming ,"Norman Jewison, Producer",0,0,126,6.3,38,2.511,"[{'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]"
1966,39,Best Picture,0,The Sand Pebbles ,"Robert Wise, Producer",20000000,12000000,182,7.3,95,6.16,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 10749, 'name': 'Romance'}]"
1966,39,Best Picture,0,Who's Afraid of Virginia Woolf? ,"Ernest Lehman, Producer",33736689,7500000,131,8,298,5.968,"[{'id': 18, 'name': 'Drama'}]"
1967,40,Best Picture,0,Bonnie and Clyde ,"Warren Beatty, Producer",50700000,2500000,111,7.6,574,7.693,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
1967,40,Best Picture,0,Doctor Dolittle ,"Arthur P. Jacobs, Producer",9000000,18000000,152,6,63,4.737,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10402, 'name': 'Music'}]"
1967,40,Best Picture,0,The Graduate ,"Lawrence Turman, Producer",104945305,3000000,106,7.7,1309,14.266,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
1967,40,Best Picture,0,Guess Who's Coming to Dinner ,"Stanley Kramer, Producer",56666667,4000000,108,7.7,276,6.465,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1967,40,Best Picture,1,In the Heat of the Night ,"Walter Mirisch, Producer",27379978,2000000,109,7.7,337,6.858,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
1968,41,Best Picture,0,Funny Girl ,"Ray Stark, Producer",52223306,14000000,149,7.1,136,6.201,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1968,41,Best Picture,0,The Lion in Winter ,"Martin Poll, Producer",0,0,134,7.6,122,6.796,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
1968,41,Best Picture,1,Oliver! ,"John Woolf, Producer",37402877,10000000,153,7.1,157,6.398,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}]"
1968,41,Best Picture,0,"Rachel, Rachel ","Paul Newman, Producer",0,0,101,6.6,20,1.067,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1968,41,Best Picture,0,Romeo and Juliet ,"Anthony Havelock-Allan and John Brabourne, Producers",38901218,0,138,7.4,240,11.005,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
