Year,Ceremony,Award,Winner,Name,Film,Revenue,Budget,Runtime,Vote_average_list,Vote_count,Popularity,Genre
1994,67,Best Picture,0,Four Weddings and a Funeral ,"Duncan Kenworthy, Producer",254700832,6000000,117,6.7,1095,7.773,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1994,67,Best Picture,0,Pulp Fiction ,"Lawrence Bender, Producer",213928762,8000000,154,8.4,13152,28.08,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
1994,67,Best Picture,0,Quiz Show ,"Robert Redford, Michael Jacobs, Julian Krainin and Michael Nozik, Producers",0,0,133,7.3,376,7.251,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]"
1994,67,Best Picture,0,The Shawshank Redemption ,"Niki Marvin, Producer",28341469,25000000,142,8.6,11467,21.826,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
1995,68,Best Picture,0,Apollo 13 ,"Brian Grazer, Producer",355237933,52000000,140,7.4,2427,20.011,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
1995,68,Best Picture,0,Babe ,"George Miller, Doug Mitchell and Bill Miller, Producers",254134910,30000000,89,6.1,1270,12.489,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
1995,68,Best Picture,1,Braveheart ,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers",210000000,72000000,177,7.8,4842,17.607,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]"
1995,68,Best Picture,0,The Postman (Il Postino) ,"Mario Cecchi Gori, Vittorio Cecchi Gori and Gaetano Daniele, Producers",0,0,108,7.9,372,8.725,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1995,68,Best Picture,0,Sense and Sensibility ,"Lindsay Doran, Producer",134582776,16000000,136,7.4,587,9.045,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1996,69,Best Picture,1,The English Patient ,"Saul Zaentz, Producer",231976425,27000000,162,7.1,875,11.814,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]"
1996,69,Best Picture,0,Fargo ,"Ethan Coen, Producer",60611975,7000000,98,7.8,3294,10.266,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
1996,69,Best Picture,0,Jerry Maguire ,"James L. Brooks, Laurence Mark, Richard Sakai and Cameron Crowe, Producers",273552592,50000000,139,6.8,1393,8.868,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
1996,69,Best Picture,0,Secrets & Lies ,"Simon Channing-Williams, Producer",13417292,4500000,142,7.5,202,6.599,"[{'id': 18, 'name': 'Drama'}]"
1996,69,Best Picture,0,Shine ,"Jane Scott, Producer",35892330,5500000,105,7.4,232,6.054,"[{'id': 18, 'name': 'Drama'}]"
1997,70,Best Picture,0,As Good as It Gets ,"James L. Brooks, Bridget Johnson and Kristi Zea, Producers",314178011,50000000,139,7.4,1471,15.208,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
1997,70,Best Picture,0,The Full Monty ,"Uberto Pasolini, Producer",257850122,3500000,91,6.9,654,9.302,"[{'id': 35, 'name': 'Comedy'}]"
1997,70,Best Picture,0,Good Will Hunting ,"Lawrence Bender, Producer",225933435,10000000,127,8,4772,16.918,"[{'id': 18, 'name': 'Drama'}]"
1997,70,Best Picture,0,L.A. Confidential ,"Arnon Milchan, Curtis Hanson and Michael Nathanson, Producers",126216940,35000000,138,7.8,2016,12.814,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
1997,70,Best Picture,1,Titanic ,"James Cameron and Jon Landau, Producers",1845034188,200000000,194,7.7,12186,18.846,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]"
1998,71,Best Picture,0,Elizabeth ,"Alison Owen, Eric Fellner and Tim Bevan, Producers",82150642,30000000,124,7.2,560,8.316,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
1998,71,Best Picture,0,Life Is Beautiful ,"Elda Ferri and Gianluigi Braschi, Producers",229400000,20000000,116,8.4,6164,13.366,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
1998,71,Best Picture,0,Saving Private Ryan ,"Steven Spielberg, Ian Bryce, Mark Gordon and Gary Levinsohn, Producers",481840909,70000000,169,8,7311,22.75,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]"
1998,71,Best Picture,1,Shakespeare in Love ,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers",289317794,25000000,122,6.9,1441,10.658,"[{'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]"
1998,71,Best Picture,0,The Thin Red Line ,"Robert Michael Geisler, John Roberdeau and Grant Hill, Producers",98126565,52000000,170,7.3,1213,10.128,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]"
1999,72,Best Picture,1,American Beauty ,"Bruce Cohen and Dan Jinks, Producers",356296601,15000000,122,8,5549,19.715,"[{'id': 18, 'name': 'Drama'}]"
1999,72,Best Picture,0,The Cider House Rules ,"Richard N. Gladstein, Producer",88545092,24000000,126,7,462,6.561,"[{'id': 18, 'name': 'Drama'}]"
1999,72,Best Picture,0,The Green Mile ,"David Valdes and Frank Darabont, Producers",284600000,60000000,189,8.4,6896,25.67,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
1999,72,Best Picture,0,The Insider ,"Michael Mann and Pieter Jan Brugge, Producers",60289912,90000000,157,7.4,724,7.914,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
1999,72,Best Picture,0,The Sixth Sense ,"Frank Marshall, Kathleen Kennedy and Barry Mendel, Producers",672806292,40000000,107,7.8,5149,18.728,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]"
2000,73,Best Picture,0,Chocolat ,"David Brown, Kit Golden and Leslie Holleran, Producers",152500343,25000000,121,6.9,1573,8.086,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
2000,73,Best Picture,0,"Crouching Tiger, Hidden Dragon ","Bill Kong, Hsu Li Kong and Ang Lee, Producers",213525736,17000000,120,7.3,1390,10.483,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 10749, 'name': 'Romance'}]"
2000,73,Best Picture,0,Erin Brockovich ,"Danny DeVito, Michael Shamberg and Stacey Sher, Producers",256271286,52000000,131,7.2,1243,7.245,"[{'id': 18, 'name': 'Drama'}]"
2000,73,Best Picture,1,Gladiator ,"Douglas Wick, David Franzoni and Branko Lustig, Producers",457640427,103000000,155,8.1,8389,21.014,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}]"
2000,73,Best Picture,0,Traffic ,"Edward Zwick, Marshall Herskovitz and Laura Bickford, Producers",207515725,48000000,147,7,869,12.625,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
2001,74,Best Picture,1,A Beautiful Mind ,"Brian Grazer and Ron Howard, Producers",313542341,60000000,135,7.8,4721,16.316,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
2001,74,Best Picture,0,Gosford Park ,"Robert Altman, Bob Balaban and David Levy, Producers",87754044,19800000,137,7,394,6.709,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
2001,74,Best Picture,0,In the Bedroom ,"Graham Leader, Ross Katz and Todd Field, Producers",0,1700000,130,6.8,133,5.419,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
2001,74,Best Picture,0,The Lord of the Rings: The Fellowship of the Ring ,"Peter Jackson, Fran Walsh and Barrie M. Osborne, Producers",871368364,93000000,178,8.2,12719,41.611,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]"
2001,74,Best Picture,0,Moulin Rouge ,"Martin Brown, Baz Luhrmann and Fred Baron, Producers",0,1500000,119,6.7,28,3.097,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]"
2002,75,Best Picture,1,Chicago ,"Martin Richards, Producer",306776732,45000000,113,7.1,1115,11.807,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]"
2002,75,Best Picture,0,Gangs of New York ,"Alberto Grimaldi and Harvey Weinstein, Producers",193772504,100000000,167,7.2,2991,15.273,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 80, 'name': 'Crime'}]"
2002,75,Best Picture,0,The Hours ,"Scott Rudin and Robert Fox, Producers",41597830,25000000,114,7.3,735,8.451,"[{'id': 18, 'name': 'Drama'}]"
2002,75,Best Picture,0,The Lord of the Rings: The Two Towers ,"Barrie M. Osborne, Fran Walsh and Peter Jackson, Producers",926287400,79000000,179,8.2,10980,43.001,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]"
2002,75,Best Picture,0,The Pianist ,"Roman Polanski, Robert Benmussa and Alain Sarde, Producers",120072577,35000000,150,8.2,3223,23.02,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]"
2003,76,Best Picture,1,The Lord of the Rings: The Return of the King ,"Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers",1118888979,94000000,201,8.4,11593,32.474,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]"
2003,76,Best Picture,0,Lost in Translation ,"Ross Katz and Sofia Coppola, Producers",119723856,4000000,102,7.4,2913,14.701,"[{'id': 18, 'name': 'Drama'}]"
2003,76,Best Picture,0,Master and Commander: The Far Side of the World ,"Samuel Goldwyn, Jr., Peter Weir and Duncan Henderson, Producers",212011111,150000000,138,7.1,1274,18.58,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]"
2003,76,Best Picture,0,Mystic River ,"Robert Lorenz, Judie G. Hoyt and Clint Eastwood, Producers",156822020,25000000,138,7.7,2496,8.916,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]"
2003,76,Best Picture,0,Seabiscuit ,"Kathleen Kennedy, Frank Marshall and Gary Ross, Producers",148336445,87000000,141,6.9,350,7.38,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
2004,77,Best Picture,0,The Aviator ,"Michael Mann and Graham King, Producers",102000000,116000000,170,7.1,2319,14.428,"[{'id': 18, 'name': 'Drama'}]"
2004,77,Best Picture,0,Finding Neverland ,"Richard N. Gladstein and Nellie Bellflower, Producers",116766556,25000000,106,7.3,1998,15.96,"[{'id': 18, 'name': 'Drama'}]"
2004,77,Best Picture,1,Million Dollar Baby ,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers",216763646,30000000,132,7.9,4112,12.817,"[{'id': 18, 'name': 'Drama'}]"
2004,77,Best Picture,0,Ray ,"Taylor Hackford, Stuart Benjamin and Howard Baldwin, Producers",124731534,40000000,152,7.3,729,8.12,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]"
2004,77,Best Picture,0,Sideways ,"Michael London, Producer",109502303,16000000,127,7.1,701,7.818,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
2005,78,Best Picture,0,Brokeback Mountain ,"Diana Ossana and James Schamus, Producers",178043761,14000000,134,7.7,2745,15.518,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
2005,78,Best Picture,0,Capote ,"Caroline Baron, William Vince and Michael Ohoven, Producers",49084830,7000000,114,7,605,5.588,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
2005,78,Best Picture,1,Crash ,"Paul Haggis and Cathy Schulman, Producers",98410061,6500000,112,7.3,1680,11.192,"[{'id': 18, 'name': 'Drama'}]"
2005,78,Best Picture,0,"Good Night, and Good Luck. ","Grant Heslov, Producer",54600000,7000000,93,7.1,393,5.259,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
2005,78,Best Picture,0,Munich ,"Kathleen Kennedy, Steven Spielberg and Barry Mendel, Producers",130358911,70000000,164,7.1,1079,8.848,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}, {'id': 53, 'name': 'Thriller'}]"
2006,79,Best Picture,0,Babel ,"Alejandro González Iñárritu, Jon Kilik and Steve Golin, Producers",135330182,25000000,143,7,1625,10.612,"[{'id': 18, 'name': 'Drama'}]"
2006,79,Best Picture,1,The Departed ,"Graham King, Producer",289847354,90000000,151,8.1,6750,19.802,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
2006,79,Best Picture,0,Letters from Iwo Jima ,"Clint Eastwood, Steven Spielberg and Robert Lorenz, Producers",68673228,19000000,141,7.4,843,7.807,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]"
2006,79,Best Picture,0,Little Miss Sunshine ,"David T. Friendly, Peter Saraf and Marc Turtletaub, Producers",100523181,8000000,102,7.6,2933,7.143,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
2006,79,Best Picture,0,The Queen ,"Andy Harries, Christine Langan and Tracey Seaward, Producers",123384128,15000000,103,7,543,5.492,"[{'id': 18, 'name': 'Drama'}]"
2007,80,Best Picture,0,Atonement ,"Tim Bevan, Eric Fellner and Paul Webster, Producers",129266061,30000000,123,7.5,1716,9.586,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
2007,80,Best Picture,0,Juno ,"Lianne Halfon, Mason Novick and Russell Smith, Producers",231411584,7500000,96,7,3591,10.614,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
2007,80,Best Picture,0,Michael Clayton ,"Sydney Pollack, Jennifer Fox and Kerry Orent, Producers",92991835,25000000,119,6.7,732,8.324,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
2007,80,Best Picture,1,No Country for Old Men ,"Scott Rudin, Ethan Coen and Joel Coen, Producers",171627166,25000000,122,7.9,4939,11.282,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
2007,80,Best Picture,0,There Will Be Blood ,"JoAnne Sellar, Paul Thomas Anderson and Daniel Lupi, Producers",77208711,25000000,158,8,2460,13.016,"[{'id': 18, 'name': 'Drama'}]"
2008,81,Best Picture,0,The Curious Case of Benjamin Button ,"Kathleen Kennedy, Frank Marshall and Ceán Chaffin, Producers",333932083,150000000,166,7.4,5520,13.821,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]"
2008,81,Best Picture,0,Frost/Nixon ,"Brian Grazer, Ron Howard and Eric Fellner, Producers",18593156,25000000,122,7.4,509,7.694,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
2008,81,Best Picture,0,Milk ,"Dan Jinks and Bruce Cohen, Producers",54586584,20000000,128,7.3,980,10.324,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]"
2008,81,Best Picture,0,The Reader ,"Anthony Minghella, Sydney Pollack, Donna Gigliotti and Redmond Morris, Producers",113019290,32000000,124,7.4,1320,11.236,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
2008,81,Best Picture,1,Slumdog Millionaire ,"Christian Colson, Producer",377910544,15000000,120,7.7,4792,10.86,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
2009,82,Best Picture,0,Avatar ,"James Cameron and Jon Landau, Producers",2787965087,237000000,162,7.4,16690,25.562,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]"
2009,82,Best Picture,0,The Blind Side ,"Gil Netter, Andrew A. Kosove and Broderick Johnson, Producers",309208309,29000000,129,7.4,2389,15.215,"[{'id': 18, 'name': 'Drama'}]"
2009,82,Best Picture,0,District 9 ,"Peter Jackson and Carolynne Cunningham, Producers",210819611,30000000,112,7.3,4841,12.883,"[{'id': 878, 'name': 'Science Fiction'}]"
2009,82,Best Picture,0,An Education ,"Finola Dwyer and Amanda Posey, Producers",26096852,7500000,100,7,631,9.261,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
2009,82,Best Picture,1,The Hurt Locker ,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers",42000000,15000000,131,7.2,2686,11.415,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]"
2009,82,Best Picture,0,Inglourious Basterds ,"Lawrence Bender, Producer",319131050,70000000,153,8.1,10205,25.568,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]"
2009,82,Best Picture,0,Precious: Based on the Novel 'Push' by Sapphire ,"Lee Daniels, Sarah Siegel-Magness and Gary Magness, Producers",47536959,10000000,110,7.1,664,7.383,"[{'id': 18, 'name': 'Drama'}]"
2009,82,Best Picture,0,A Serious Man ,"Joel Coen and Ethan Coen, Producers",31430334,7000000,105,6.7,813,8.107,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
2009,82,Best Picture,0,Up ,"Jonas Rivera, Producer",735099082,175000000,96,7.9,10750,23.959,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]"
2009,82,Best Picture,0,Up in the Air ,"Daniel Dubiecki, Ivan Reitman and Jason Reitman, Producers",163670000,25000000,110,6.8,1811,9.958,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
2010,83,Best Picture,0,Black Swan ,"Mike Medavoy, Brian Oliver and Scott Franklin, Producers",327803731,13000000,108,7.5,7275,14.984,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
2010,83,Best Picture,0,The Fighter ,"David Hoberman, Todd Lieberman and Mark Wahlberg, Producers",93617009,25000000,116,7.3,2061,11.924,"[{'id': 18, 'name': 'Drama'}]"
2010,83,Best Picture,0,Inception ,"Emma Thomas and Christopher Nolan, Producers",825532764,160000000,148,8.2,19633,37.123,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}]"
2010,83,Best Picture,0,The Kids Are All Right ,"Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray, Producers",34705850,3500000,106,6.6,754,7.467,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
2010,83,Best Picture,1,The King's Speech ,"Iain Canning, Emile Sherman and Gareth Unwin, Producers",414211549,15000000,118,7.7,4314,15.075,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
2010,83,Best Picture,0,127 Hours ,"Christian Colson, Danny Boyle and John Smithson, Producers",35692920,18000000,94,7,3867,9.509,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
2010,83,Best Picture,0,The Social Network ,"Scott Rudin, Dana Brunetti, Michael De Luca and Ceán Chaffin, Producers",224920315,40000000,121,7.2,5226,16.042,"[{'id': 18, 'name': 'Drama'}]"
2010,83,Best Picture,0,Toy Story 3 ,"Darla K. Anderson, Producer",1066969703,200000000,103,7.7,7209,21.329,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]"
2010,83,Best Picture,0,True Grit ,"Scott Rudin, Ethan Coen and Joel Coen, Producers",252276927,38000000,110,7.2,2430,13.527,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 37, 'name': 'Western'}]"
2010,83,Best Picture,0,Winter's Bone ,"Anne Rosellini and Alix Madigan-Yorkin, Producers",13831503,2000000,101,6.9,824,8.173,"[{'id': 18, 'name': 'Drama'}]"
2011,84,Best Picture,1,The Artist ,"Thomas Langmann, Producer",133432856,15000000,100,7.4,1562,9.586,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
2011,84,Best Picture,0,The Descendants ,"Jim Burke, Alexander Payne and Jim Taylor, Producers",177243185,20000000,115,6.8,1344,10.113,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
2011,84,Best Picture,0,Extremely Loud & Incredibly Close ,"Scott Rudin, Producer",55247881,40000000,129,7,1091,7.297,"[{'id': 18, 'name': 'Drama'}]"
2011,84,Best Picture,0,The Help ,"Brunson Green, Chris Columbus and Michael Barnathan, Producers",124272124,25000000,146,8.1,3301,10.802,"[{'id': 18, 'name': 'Drama'}]"
2011,84,Best Picture,0,Hugo ,"Graham King and Martin Scorsese, Producers",185770160,170000000,126,7.1,3484,9.764,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
2011,84,Best Picture,0,Midnight in Paris ,"Letty Aronson and Stephen Tenenbaum, Producers",151119219,30000000,94,7.5,3345,9.948,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
2011,84,Best Picture,0,Moneyball ,"Michael De Luca, Rachael Horovitz and Brad Pitt, Producers",110206216,50000000,134,7.1,1990,10.982,"[{'id': 18, 'name': 'Drama'}]"
2011,84,Best Picture,0,The Tree of Life ,"Sarah Green, Bill Pohlad, Dede Gardner and Grant Hill, Producers",54674226,32000000,139,6.6,1511,7.975,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]"
2011,84,Best Picture,0,War Horse ,"Steven Spielberg and Kathleen Kennedy, Producers",177584879,66000000,146,7.2,1584,8.448,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]"
2012,85,Best Picture,0,Amour ,"Margaret Menegoz, Stefan Arndt, Veit Heiduschka and Michael Katz, Producers",29844753,8900000,127,7.7,632,6.476,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
2012,85,Best Picture,1,Argo ,"Grant Heslov, Ben Affleck and George Clooney, Producers",232324128,44500000,120,7.2,4613,10.378,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
2012,85,Best Picture,0,Beasts of the Southern Wild ,"Dan Janvey, Josh Penn and Michael Gottwald, Producers",21107746,1800000,93,6.9,556,5.804,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]"
2012,85,Best Picture,0,Django Unchained ,"Stacey Sher, Reginald Hudlin and Pilar Savone, Producers",425368238,100000000,165,8,13911,18.029,"[{'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]"
2012,85,Best Picture,0,Les Misérables ,"Tim Bevan, Eric Fellner, Debra Hayward and Cameron Mackintosh, Producers",441809770,61000000,157,7.3,2843,15.611,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]"
2012,85,Best Picture,0,Life of Pi ,"Gil Netter, Ang Lee and David Womark, Producers",609016565,120000000,127,7.3,7881,11.392,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]"
2012,85,Best Picture,0,Lincoln ,"Steven Spielberg and Kathleen Kennedy, Producers",275293450,65000000,149,6.8,2002,20.413,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]"
2012,85,Best Picture,0,Silver Linings Playbook ,"Donna Gigliotti, Bruce Cohen and Jonathan Gordon, Producers",236412453,21000000,122,7,6753,9.405,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
2012,85,Best Picture,0,Zero Dark Thirty ,"Mark Boal, Kathryn Bigelow and Megan Ellison, Producers",132820716,40000000,157,6.9,2296,12.516,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
2013,86,Best Picture,0,American Hustle ,"Charles Roven, Richard Suckle, Megan Ellison and Jonathan Gordon, Producers",251171807,40000000,138,6.8,3966,12.126,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
2013,86,Best Picture,0,Captain Phillips ,"Scott Rudin, Dana Brunetti and Michael De Luca, Producers",95000000,55000000,134,7.6,3466,13.371,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
2013,86,Best Picture,0,Dallas Buyers Club ,"Robbie Brenner and Rachel Winter, Producers",55198285,5000000,117,7.9,4304,11.145,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
2013,86,Best Picture,0,Gravity ,"Alfonso Cuarón and David Heyman, Producers",716392705,105000000,91,7.2,8371,21.013,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]"
2013,86,Best Picture,0,Her ,"Megan Ellison, Spike Jonze and Vincent Landay, Producers",47351251,23000000,126,7.9,6526,12.547,"[{'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]"
2013,86,Best Picture,0,Nebraska ,"Albert Berger and Ron Yerxa, Producers",17654912,12000000,115,7.4,859,6.137,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}]"
