,Year,Ceremony,Award,Winner,title,production
5000,1974,47,Best Picture,0,The Conversation ,"Francis Ford Coppola, Producer; Fred Roos, Co-Producer"
5001,1974,47,Best Picture,1,The Godfather Part II ,"Francis Ford Coppola, Producer; Gray Frederickson and Fred Roos, Co-Producers"
5002,1974,47,Best Picture,0,Lenny ,"Marvin Worth, Producer"
5003,1974,47,Best Picture,0,The Towering Inferno ,"Irwin Allen, Producer"
5106,1975,48,Best Picture,0,Barry Lyndon ,"Stanley Kubrick, Producer"
5107,1975,48,Best Picture,0,Dog Day Afternoon ,"Martin Bregman and Martin Elfand, Producers"
5108,1975,48,Best Picture,0,Jaws ,"Richard D. Zanuck and David Brown, Producers"
5109,1975,48,Best Picture,0,Nashville ,"Robert Altman, Producer"
5110,1975,48,Best Picture,1,One Flew over the Cuckoo's Nest ,"Saul Zaentz and Michael Douglas, Producers"
5213,1976,49,Best Picture,0,All the President's Men ,"Walter Coblenz, Producer"
5214,1976,49,Best Picture,0,Bound for Glory ,"Robert F. Blumofe and Harold Leventhal, Producers"
5215,1976,49,Best Picture,0,Network ,"Howard Gottfried, Producer"
5216,1976,49,Best Picture,1,Rocky ,"Irwin Winkler and Robert Chartoff, Producers"
5217,1976,49,Best Picture,0,Taxi Driver ,"Michael Phillips and Julia Phillips, Producers"
5317,1977,50,Best Picture,1,Annie Hall ,"Charles H. Joffe, Producer"
5318,1977,50,Best Picture,0,The Goodbye Girl ,"Ray Stark, Producer"
5319,1977,50,Best Picture,0,Julia ,"Richard Roth, Producer"
5320,1977,50,Best Picture,0,Star Wars ,"Gary Kurtz, Producer"
5321,1977,50,Best Picture,0,The Turning Point ,"Herbert Ross and Arthur Laurents, Producers"
5428,1978,51,Best Picture,0,Coming Home ,"Jerome Hellman, Producer"
5429,1978,51,Best Picture,1,The Deer Hunter ,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers"
5430,1978,51,Best Picture,0,Heaven Can Wait ,"Warren Beatty, Producer"
5431,1978,51,Best Picture,0,Midnight Express ,"Alan Marshall and David Puttnam, Producers"
5432,1978,51,Best Picture,0,An Unmarried Woman ,"Paul Mazursky and Tony Ray, Producers"
5537,1979,52,Best Picture,0,All That Jazz ,"Robert Alan Aurthur, Producer"
5538,1979,52,Best Picture,0,Apocalypse Now ,"Francis Coppola, Producer; Fred Roos, Gray Frederickson and Tom Sternberg, Co-Producers"
5539,1979,52,Best Picture,0,Breaking Away ,"Peter Yates, Producer"
5540,1979,52,Best Picture,1,Kramer vs. Kramer ,"Stanley R. Jaffe, Producer"
5541,1979,52,Best Picture,0,Norma Rae ,"Tamara Asseyev and Alex Rose, Producers"
5648,1980,53,Best Picture,0,Coal Miner's Daughter ,"Bernard Schwartz, Producer"
5649,1980,53,Best Picture,0,The Elephant Man ,"Jonathan Sanger, Producer"
5650,1980,53,Best Picture,1,Ordinary People ,"Ronald L. Schwary, Producer"
5651,1980,53,Best Picture,0,Raging Bull ,"Irwin Winkler and Robert Chartoff, Producers"
5652,1980,53,Best Picture,0,Tess ,"Claude Berri, Producer; Timothy Burrill, Co-Producer"
5749,1981,54,Best Picture,0,Atlantic City ,"Denis Heroux and John Kemeny, Producers"
5750,1981,54,Best Picture,1,Chariots of Fire ,"David Puttnam, Producer"
5751,1981,54,Best Picture,0,On Golden Pond ,"Bruce Gilbert, Producer"
5752,1981,54,Best Picture,0,Raiders of the Lost Ark ,"Frank Marshall, Producer"
5753,1981,54,Best Picture,0,Reds ,"Warren Beatty, Producer"
5857,1982,55,Best Picture,0,E.T. The Extra-Terrestrial ,"Steven Spielberg and Kathleen Kennedy, Producers"
5858,1982,55,Best Picture,1,Gandhi ,"Richard Attenborough, Producer"
5859,1982,55,Best Picture,0,Missing ,"Edward Lewis and Mildred Lewis, Producers"
5860,1982,55,Best Picture,0,Tootsie ,"Sydney Pollack and Dick Richards, Producers"
5861,1982,55,Best Picture,0,The Verdict ,"Richard D. Zanuck and David Brown, Producers"
5967,1983,56,Best Picture,0,The Big Chill ,"Michael Shamberg, Producer"
5968,1983,56,Best Picture,0,The Dresser ,"Peter Yates, Producer"
5969,1983,56,Best Picture,0,The Right Stuff ,"Irwin Winkler and Robert Chartoff, Producers"
5970,1983,56,Best Picture,0,Tender Mercies ,"Philip S. Hobel, Producer"
5971,1983,56,Best Picture,1,Terms of Endearment ,"James L. Brooks, Producer"
6075,1984,57,Best Picture,1,Amadeus ,"Saul Zaentz, Producer"
6076,1984,57,Best Picture,0,The Killing Fields ,"David Puttnam, Producer"
6077,1984,57,Best Picture,0,A Passage to India ,"John Brabourne and Richard Goodwin, Producers"
6078,1984,57,Best Picture,0,Places in the Heart ,"Arlene Donovan, Producer"
6079,1984,57,Best Picture,0,A Soldier's Story ,"Norman Jewison, Ronald L. Schwary and Patrick Palmer, Producers"
6182,1985,58,Best Picture,0,The Color Purple ,"Steven Spielberg, Kathleen Kennedy, Frank Marshall and Quincy Jones, Producers"
6183,1985,58,Best Picture,0,Kiss of the Spider Woman ,"David Weisman, Producer"
6184,1985,58,Best Picture,1,Out of Africa ,"Sydney Pollack, Producer"
6185,1985,58,Best Picture,0,Prizzi's Honor ,"John Foreman, Producer"
6186,1985,58,Best Picture,0,Witness ,"Edward S. Feldman, Producer"
6291,1986,59,Best Picture,0,Children of a Lesser God ,"Burt Sugarman and Patrick Palmer, Producers"
6292,1986,59,Best Picture,0,Hannah and Her Sisters ,"Robert Greenhut, Producer"
6293,1986,59,Best Picture,0,The Mission ,"Fernando Ghia and David Puttnam, Producers"
6294,1986,59,Best Picture,1,Platoon ,"Arnold Kopelson, Producer"
6295,1986,59,Best Picture,0,A Room with a View ,"Ismail Merchant, Producer"
6398,1987,60,Best Picture,0,Broadcast News ,"James L. Brooks, Producer"
6399,1987,60,Best Picture,0,Fatal Attraction ,"Stanley R. Jaffe and Sherry Lansing, Producers"
6400,1987,60,Best Picture,0,Hope and Glory ,"John Boorman, Producer"
6401,1987,60,Best Picture,1,The Last Emperor ,"Jeremy Thomas, Producer"
6402,1987,60,Best Picture,0,Moonstruck ,"Patrick Palmer and Norman Jewison, Producers"
6500,1988,61,Best Picture,0,The Accidental Tourist ,"Lawrence Kasdan, Charles Okun and Michael Grillo, Producers"
6501,1988,61,Best Picture,0,Dangerous Liaisons ,"Norma Heyman and Hank Moonjean, Producers"
6502,1988,61,Best Picture,0,Mississippi Burning ,"Frederick Zollo and Robert F. Colesberry, Producers"
6503,1988,61,Best Picture,1,Rain Man ,"Mark Johnson, Producer"
6504,1988,61,Best Picture,0,Working Girl ,"Douglas Wick, Producer"
6607,1989,62,Best Picture,0,Born on the Fourth of July ,"A. Kitman Ho and Oliver Stone, Producers"
6608,1989,62,Best Picture,0,Dead Poets Society ,"Steven Haft, Paul Junger Witt and Tony Thomas, Producers"
